Adamant, Attack, Sp. Atk
Bashful, -, -
Bold, Defense, Attack
Brave, Attack, Speed
Calm, Sp. Def, Attack
Careful, Sp. Def, Sp. Atk
Docile, -, -
Gentle, Sp. Def, Defense
Hardy, -, -
Hasty, Speed, Defense
Impish, Defense, Sp. Atk
Jolly, Speed, Sp. Atk
Lax, Defense, Sp. Def
Lonely, Attack, Defense
Mild, Sp. Atk, Defense
Modest, Sp. Atk, Attack
Naive, Speed, Sp. Def
Naughty, Attack, Sp. Def
Quiet, Sp. Atk, Speed
Quirky, -, -
Rash, Sp. Atk, Sp. Def
Relaxed, Defense, Speed
Sassy, Sp. Def, Speed
Serious, -, -
Timid, Speed, Attack
